,id,address,categories,city,postalCode,latitude,longitude,menus.amountMax,menus.amountMin,menus.name,menus.description,menus.dateSeen,province
3664,AVwdPK3bkufWRAb53wLj,4312 Ridge Rd,Pizza Place,Cleveland,44144,41.43924378,-81.73568205,10.99,10.99,Reuben Pizza,"Thinly sliced corn beef, sauerkraut, provolone swiss mix with just the right amount of mustard.","2016-11-07T18:01:12Z,2016-04-02T04:50:58Z",OH
3665,AVwdN39oByjofQCxmu9Y,717 Sterlington Hwy,Pizza Place,Farmerville,71241,32.77083563,-92.39532123,16.99,16.99,Veggie Pizza,"Covered with onions, mushrooms, black olives, bell peppers and jalapenos","2016-04-04T05:33:51Z,2016-06-20T15:35:12Z",LA
3666,AVweMcWG_7pvs4fzA3hU,1577 Coburg Rd,Pizza Place,Eugene,97401,44.07913278,-123.06778059999999,14.6,14.6,Taco Pizza,"Refried bean, onion, lean beef, taco chip, lettuce, tomato and cheddar cheese",2016-03-21T00:23:00.000Z,OR
3667,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,15.95,13.95,Lasagna Pizza,"Ricotta, ground beef, marinara sauce",2016-03-30T04:18:15Z,FL
3668,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,15.95,13.95,Eggplant Parmigiana Pizza,"Eggplant, mozzarella, romano cheese and marinara sauce",2016-03-30T04:18:15Z,FL
3669,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,19.95,17.95,Stuffed Chicken Deluxe Pizza,"Chicken, bacon, cheddar cheese, tomatoes and ranch dressing",2016-03-30T04:18:15Z,FL
3670,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,18.95,16.95,Veggie Primavera Pizza,"Spinach, mushrooms, onions, green peppers, broccoli, tomatoes, and black olives",2016-03-30T04:18:15Z,FL
3671,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,15.95,13.95,N.Y. White Pizza,"Ricotta, garlic, mozzarella, grated cheese",2016-03-30T04:18:15Z,FL
3672,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,15.95,13.95,Hawaiian Pizza,"Ham, pineapple, mozarella",2016-03-30T04:18:15Z,FL
3673,AVweCz7JkufWRAb5_gtb,179 SW 250th St,"Pizza Place,Restaurant",Newberry,32669,29.64498172,-82.60638218,19.95,17.95,Stuffed Meat Pizza,"Ham, pepperoni, sausage, meatballs",2016-03-30T04:18:15Z,FL
3674,AVwd-gAs_7pvs4fz-8Gz,203 N Main St,Pizza Place,Bowling Green,43402,41.37624548,-83.65051423,5.0,5.0,Greek Pizza,"Mozzarella, tomato, red onions, black olives, green peppers, feta","2016-03-28T05:43:30Z,2015-10-22T19:24:55Z",OH
3675,AVwd-gAs_7pvs4fz-8Gz,203 N Main St,Pizza Place,Bowling Green,43402,41.37624548,-83.65051423,3.25,3.25,Pizza Sub,"Pepperoni, sausage, mozz, cheese, special pizza sauce","2016-03-28T05:43:30Z,2015-10-22T19:24:55Z",OH
3676,AVwd-gAs_7pvs4fz-8Gz,203 N Main St,Pizza Place,Bowling Green,43402,41.37624548,-83.65051423,12.75,12.75,Stuffed Crust Pizza,With mozzarella cheese,"2016-03-28T05:43:30Z,2015-10-22T19:24:55Z",OH
3677,AVwdCcB_IN2L1WUfrjvU,117 S Main St,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Columbia,62236,38.44239653,-90.19928813,16.95,12.95,Pizza Alla Mario,"Chicken, mushrooms and broccoli with an alfredo sauce",2016-05-06T07:32:22Z,IL
3678,AVwdCcB_IN2L1WUfrjvU,117 S Main St,"Italian Restaurant,Pizza Place,Italian Restaurant and Pizza Place",Columbia,62236,38.44239653,-90.19928813,15.95,11.95,Pizza Alla Giuseppe,"Eggplant, tomato, red onion and black olives",2016-05-06T07:32:22Z,IL
